anio,delito,cantidad
2014,Otros delitos contra las personas,49548
2014,Otros delitos previstos en leyes especiales,35104
2014,Robos (excluye los agravados por el resultado de lesiones y/o muertes),448317
2014,Robos agravados por el resultado de lesiones y/o muertes ,8703
2014,Suicidios (consumados),3242
2014,Tentativas de hurto,11438
2014,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),29380
2014,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1412
2015,Abusos sexuales con acceso carnal (violaciones),3418
2015,Amenazas,187094
2015,Contravenciones,93633
2015,Delitos contra el estado civil,144
2015,Delitos contra el honor,413
2015,Delitos contra el orden público,12187
2015,Delitos contra la administración pública,32791
2015,Delitos contra la fe pública,6766
2015,Delitos contra la seguridad de la nación,230
2015,Delitos contra la seguridad pública,8028
2015,Delitos contra los poderes públicos y el orden constitucional,389
2015,Homicidios culposos por otros hechos,967
2015,Homicidios dolosos,2761
2015,Homicidios dolosos en grado de tentativa,1597
2015,Hurtos,260471
2015,Lesiones culposas en Accidentes Viales,84033
2015,Lesiones culposas por otros hechos,24807
2015,Lesiones dolosas,171324
2015,Ley 23.737 (estupefacientes),31447
2015,Muertes en accidentes viales,3641
2015,Otros delitos contra la integridad sexual,12313
2015,Otros delitos contra la libertad,10604
2015,Otros delitos contra la propiedad,104360
2015,Otros delitos contra las personas,44803
2015,Otros delitos previstos en leyes especiales,35282
2015,Robos (excluye los agravados por el resultado de lesiones y/o muertes),419305
2015,Robos agravados por el resultado de lesiones y/o muertes ,8175
2015,Suicidios (consumados),2915
2015,Tentativas de hurto,9472
2015,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),28406
2015,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1054
2016,Abusos sexuales con acceso carnal (violaciones),3677
2016,Amenazas,168109
2016,Contrabando agravado,2
2016,Contrabando de elementos nucleares agresivos químicos armas y municiones,0
2016,Contrabando simple,72
2016,Contravenciones,102938
2016,Delitos contra el estado civil,100
2016,Delitos contra el honor,466
2016,Delitos contra el orden económico y financiero,132
2016,Delitos contra el orden público,9160
2016,Delitos contra la administración pública,37305
2016,Delitos contra la fe pública,6972
2016,Delitos contra la seguridad de la nación,80
2016,Delitos contra la seguridad pública,15711
2016,Delitos contra los poderes públicos y el orden constitucional,421
2016,Delitos migratorios,2
2016,Homicidios culposos por otros hechos,582
2016,Homicidios dolosos,2607
2016,Homicidios dolosos en grado de tentativa,1659
2016,Hurtos,265889
2016,Lesiones culposas en Accidentes Viales,94016
2016,Lesiones culposas por otros hechos,15483
2016,Lesiones dolosas,141311
2016,Ley 23.737 (estupefacientes),35256
2016,Ley de fauna,7
2016,Ley de residuos peligrosos,0
2016,Muertes en accidentes viales,3919
2016,Obstrucción del código aduanero,25
2016,Otros delitos contra la integridad sexual,8981
2016,Otros delitos contra la libertad,12260
2016,Otros delitos contra la propiedad,101189
2016,Otros delitos contra las personas,54877
2016,Otros delitos previstos en leyes especiales,34504
2016,Otros delitos previstos en leyes especiales n.c.p,1256
2016,Robos (excluye los agravados por el resultado de lesiones y/o muertes),420589
2016,Robos agravados por el resultado de lesiones y/o muertes ,9254
2016,Suicidios (consumados),3002
2016,Tentativas de hurto,10333
2016,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),30095
2016,Tentativas de robo agravado por el resultado de lesiones y/o muertes,992
2017,Abusos sexuales con acceso carnal (violaciones),3755
2017,Acopio y fabricación ilegal de armas piezas y municiones,73
2017,Amenazas,178598
2017,Comercialización y entrega de estupefacientes,4513
2017,Confabulación de estupefacientes,86
2017,Contrabando Agravado,300
2017,Contrabando Simple,6825
2017,Contrabando de elementos nucleares agresivos químicos armas y municiones,4
2017,Contrabando de estupefacientes,1315
2017,Contravenciones,161897
2017,Delitos contra el estado civil,79
2017,Delitos contra el honor,449
2017,Delitos contra el orden económico y financiero,771
2017,Delitos contra el orden público,9109
2017,Delitos contra la administración pública,44104
2017,Delitos contra la fe pública,9492
2017,Delitos contra la seguridad de la nación,45
2017,Delitos contra la seguridad pública,29115
2017,Delitos contra los poderes públicos y el orden constitucional,628
2017,Delitos migratorios,218
2017,Delitos previstos en otras leyes,38945
2017,Desvío de Importación de estupefacientes,45
2017,Entrega y comercialización ilegal de armas de fuego,3
2017,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,123
2017,Homicidios culposos por otros hechos,593
2017,Homicidios dolosos,2224
2017,Homicidios dolosos en grado de tentativa,1588
2017,Hurtos,252807
2017,Lesiones culposas en Accidentes Viales,97709
2017,Lesiones culposas por otros hechos,17861
2017,Lesiones dolosas,142111
2017,Ley 23.737 (estupefacientes),47358
2017,Ley de fauna,756
2017,Ley de residuos peligrosos,53
2017,Muertes en accidentes viales,4193
2017,Obstrucción del código aduanero,482
2017,Omisión adulteración y supresión de marcaje,85
2017,Organización y financiación de estupefacientes,97
2017,Otros delitos contra la integridad sexual,11035
2017,Otros delitos contra la libertad,23056
2017,Otros delitos contra la propiedad,104043
2017,Otros delitos contra la seguridad pública,23895
2017,Otros delitos contra las personas,52759
2017,Otros delitos previstos en la ley 23.737,11271
2017,Otros delitos previstos en leyes especiales,30307
2017,Portación ilegal de armas de fuego,1693
2017,Robos (excluye los agravados por el resultado de lesiones y/o muertes),393367
2017,Robos agravados por el resultado de lesiones y/o muertes,9535
2017,Siembra y producción de estupefacientes,273
2017,Suicidios (consumados),3299
2017,Tenencia ilegal de armas de fuego,3243
2017,Tenencia o entrega atenuada de estupefacientes,263
2017,Tenencia simple atenuada para uso personal de estupefacientes,21530
2017,Tenencia simple de estupefacientes,7965
2017,Tentativas de hurto,10214
2017,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),29100
2017,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1168
2017,Trata de personas agravado,17
2017,Trata de personas simple,173
2018,Abusos sexuales con acceso carnal (violaciones),4204
2018,Acopio y fabricación ilegal de armas piezas y municiones,46
2018,Amenazas,176661
2018,Comercialización y entrega de estupefacientes,5958
2018,Confabulación de estupefacientes,123
2018,Contrabando Agravado,170
2018,Contrabando Simple,5295
2018,Contrabando de elementos nucleares agresivos químicos armas y municiones,6
2018,Contrabando de estupefacientes,899
2018,Contravenciones,178813
2018,Delitos contra el estado civil,178
2018,Delitos contra el honor,534
2018,Delitos contra el orden económico y financiero,239
2018,Delitos contra el orden público,7264
2018,Delitos contra la administración pública,41892
2018,Delitos contra la fe pública,8901
2018,Delitos contra la seguridad de la nación,86
2018,Delitos contra la seguridad pública,31157
2018,Delitos contra los poderes públicos y el orden constitucional,930
2018,Delitos migratorios,604
2018,Delitos previstos en otras leyes,40064
2018,Desvío de Importación de estupefacientes,20
2018,Entrega y comercialización ilegal de armas de fuego,4
2018,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,146
2018,Homicidios culposos por otros hechos,536
2018,Homicidios dolosos,2282
2018,Homicidios dolosos en grado de tentativa,1512
2018,Hurtos,276745
2018,Lesiones culposas en Accidentes Viales,95082
2018,Lesiones culposas por otros hechos,17463
2018,Lesiones dolosas,136843
2018,Ley 23.737 (estupefacientes),61502
2018,Ley de fauna,787
2018,Ley de residuos peligrosos,51
2018,Muertes en accidentes viales,4294
2018,Obstrucción del código aduanero,332
2018,Omisión adulteración y supresión de marcaje,178
2018,Organización y financiación de estupefacientes,173
2018,Otros delitos contra la integridad sexual,12858
2018,Otros delitos contra la libertad,22527
2018,Otros delitos contra la propiedad,109635
2018,Otros delitos contra la seguridad pública,25747
2018,Otros delitos contra las personas,59316
2018,Otros delitos previstos en la ley 23.737,16664
2018,Otros delitos previstos en leyes especiales,32819
