anio,delito,cantidad
2002,Delito 22,5199.0
2003,Delito 22,4934.0
2004,Delito 22,4833.0
2005,Delito 22,5381.0
2006,Delito 22,5614.0
2007,Delito 22,5421.0
2008,Delito 22,5992.0
2009,Delito 22,21978.0
2010,Delito 22,22044.0
2011,Delito 22,24276.0
2012,Delito 22,25392.0
2013,Delito 22,27212.0
2014,Delito 22,7971.0
2015,Delito 22,8028.0
2016,Delito 22,15711.0
2017,Delito 22,29115.0
2018,Delito 22,31157.0
2019,Delito 22,33494.0
2020,Delito 22,101289.0
2021,Delito 22,49492.0
2022,Delito 22,33477.0
2023,Delito 22,33936.0
2024,Delito 22,21181.0
2017,Delito 22_1,123.0
2018,Delito 22_1,146.0
2019,Delito 22_1,116.0
2020,Delito 22_1,75.0
2021,Delito 22_1,124.0
2022,Delito 22_1,131.0
2023,Delito 22_1,69.0
2024,Delito 22_1,58.0
2017,Delito 22_2,3243.0
2018,Delito 22_2,3163.0
2019,Delito 22_2,3055.0
2020,Delito 22_2,2928.0
2021,Delito 22_2,2810.0
2022,Delito 22_2,2619.0
2023,Delito 22_2,2469.0
2024,Delito 22_2,3173.0
2017,Delito 22_3,1693.0
2018,Delito 22_3,1873.0
2019,Delito 22_3,1739.0
2020,Delito 22_3,1650.0
2021,Delito 22_3,1426.0
2022,Delito 22_3,1365.0
2023,Delito 22_3,1305.0
2024,Delito 22_3,1963.0
2017,Delito 22_4,73.0
2018,Delito 22_4,46.0
2019,Delito 22_4,63.0
2020,Delito 22_4,59.0
2021,Delito 22_4,57.0
2022,Delito 22_4,35.0
2023,Delito 22_4,81.0
2024,Delito 22_4,181.0
2017,Delito 22_5,3.0
2018,Delito 22_5,4.0
2019,Delito 22_5,6.0
2020,Delito 22_5,6.0
2021,Delito 22_5,10.0
2022,Delito 22_5,55.0
2023,Delito 22_5,65.0
2024,Delito 22_5,95.0
2017,Delito 22_6,85.0
2018,Delito 22_6,178.0
2019,Delito 22_6,130.0
2020,Delito 22_6,116.0
2021,Delito 22_6,104.0
2022,Delito 22_6,164.0
2023,Delito 22_6,137.0
2024,Delito 22_6,149.0
2017,Delito 22_7,23895.0
2018,Delito 22_7,25747.0
2019,Delito 22_7,28385.0
2020,Delito 22_7,96455.0
2021,Delito 22_7,44961.0
2022,Delito 22_7,29108.0
